rec_id,url,website,result,created_date
1,http://serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,1626630621935158.html,0,10/31/2021 16:35
2,http://mail.printakid.com/www.online.americanexpress.com/index.html,1635709089405696.html,0,10/31/2021 16:53
3,http://ww25.thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/&subid1=20230427-1328-25e6-abd5-8eb1fd258dfd,161352219162078.html,0,2/17/2021 18:01
4,http://smilesvoegol.servebbs.org/voegol.php,1635746197718643.html,0,10/31/2021 18:05
5,http://myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,1635707297969905.html,0,7/13/2021 15:44
6,http://phlebolog.com.ua/libraries/joomla/results.php,1635702000017683.html,0,10/31/2021 17:08
7,http://phlebolog.com.ua/libraries/joomla/results.php,1635702000019683.html,0,10/31/2021 17:02
8,http://perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/,1635713773762468.html,0,10/31/2021 18:22
9,http://myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php,1635712197850175.html,0,10/31/2021 18:37
10,http://anonymeidentity.net/remax./remax.htm,1626170054396892.html,0,10/31/2021 16:71
11,http://dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,1613563574363395.html,0,10/31/2021 16:45
12,http://www.avedeoiro.com/site/plugins/chase/,1635703471702368.html,0,2/17/2021 18:02
13,http://asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/,1613526819401905.html,0,10/31/2021 18:06
14,http://www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/,1635749675039435.html,0,7/13/2021 15:45
15,https://optimistic-pessimism.com/aoluserupdatealert.info.htm,1613579920793711.html,0,7/19/2021 18:51
16,http://com.br/confirmar/,1635707743232302.html,0,10/31/2021 17:03
17,http://com.br/,1609105751340594.html,0,10/31/2021 18:32
18,http://myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php,1635712197850175.html,0,10/31/2021 18:37
19,http://paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code90/security/,1635706079467899.html,0,7/13/2021 15:46
20,https://ebayisapidlld.altervista.org/,1635709325292373.html,0,7/19/2021 18:52
21,http://horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce,1635709489904577.html,0,10/31/2021 17:04
