rec_id,url,website,result,created_date
25,http://ysuieno.com/mazon/5a5f8/,1626068019115351.html,1,07/12/2021 05:33:00
45,https://ladivadeltubo.com/language/overrides/update/paypal/,1613575651211253.html,1,02/17/2021 20:57:00
56,https://fashionifyy.in/system/helpers/postaleclients/service24h/ID214548822300000X4/Benif/c17cd/source/,1608908270487458.html,1,12/25/2020 20:27:00
60,https://ggtour.ru,1625743853979504.html,1,07/08/2021 11:30:00
61,https://www.megamachinegroup.com/.well-known/pki-validation/,1626359440769192.html,1,07/15/2021 14:30:00
62,https://betasus2021.blogspot.com,1613576389999168.html,1,02/17/2021 21:09:00
68,http://jantofubu.com/peere/iowa...,1608738733777902.html,1,12/23/2020 21:22:00
97,http://ash64.net/wp-admin/Adpadpsecurity/adp/,1624937791753825.html,1,06/29/2021 03:36:00
101,http://lcoches.net/,10004182.html,1,10/26/2021 11:54:00
104,http://mail.tarunnobd24.com/zedhub.com.bd/n1/NedMoney~PROFILE~PIN~PASSWORD.htm,1608822854047994.html,1,12/24/2020 20:44:00
114,http://redirect.voici-news.fr/P-351075-95303b56fd8597a1946dc433811ae477-239262-78/?cl=1&amp;n=39&amp;l=o&amp;u=https%3A%2F%2Fwww.google.com%2Furl%3Fsa%3Dt%26rct%3Dj%26q%3D%26esrc%3Ds%26source%3Dweb%26cd%3D%26cad%3Drja%26uact%3D8%26ved%3D2ahUKEwiZ1pCLjIXqAhWEoXEKHQKHBggQFjACegQIARAB%26url%3Dhttps%253A%252F%252Fwww.lab4rent.it%252Fofferte%252Fhonda-sh-150-abs-bauletto-e-parabrezza%252F%26usg%3DAOvVaw0UufYCHhtdY_OzQ1PxDTIP,1613573283963242.html,1,02/17/2021 20:18:00
119,https://kergaukr.com/feed/posts/goldmans-president-david-solomon-to-become-ceo-on-oct-1,1613576172234294.html,1,02/17/2021 21:06:00
139,http://submityoururl.com/AbsaOnline/AbsaLogin.htm,1613574063880321.html,1,02/17/2021 20:31:00
141,http://amanda-johnson.com/asf/e3aa36265b89f1fbfa7647dc4e210853/view/login.php?userid=,1613577083714075.html,1,02/17/2021 21:21:00
144,http://hm-revenue-costums.ciclosew.com/,1607277046307287.html,1,12/06/2020 23:20:00
159,http://lestaribataritedjo13.gq/2k2tuan/,1622612621610202.html,1,06/02/2021 05:43:00
160,http://waspsstore.com/wp-content/_alert/,1613572981179675.html,1,02/17/2021 20:13:00
227,http://ee-account.tk/My%20EE%20login.html,1607439107692034.html,1,12/08/2020 20:21:00
232,https://5wyle.csb.app/?1626739878523=,1626892208011245.html,1,07/21/2021 18:30:00
267,http://agent.joinf.cn/,1613575104715823.html,1,02/17/2021 20:48:00
283,https://ny.piratebayproxy.co/direct/aHR0cHM6Ly9tb2JpbGUuZmFjZWJvb2suY29tLw,10003604.html,1,10/31/2021 23:02:00
289,https://bexwebmailupdate.web.app/,10001029.html,1,10/31/2021 22:55:00
305,https://opiumcasino.net/,1607616530254589.html,1,12/10/2020 21:38:00
316,https://betasus2020.blogspot.com/,1613573390158752.html,1,02/17/2021 20:19:00
324,http://cannellandcoflooring.co.uk/administrator/templates/system/images/img/onel/,1626464425968285.html,1,07/16/2021 19:40:00
347,http://facebooksverfication.ml/,1608399311113237.html,1,12/19/2020 23:05:00
354,http://limiteextraltaucard.rf.gd/,161357657849492.html,1,02/17/2021 21:12:00
366,http://amanda-johnson.com/asf/a5c228829880d5a822e91c4ebf0b7a46/view/login.php,1613576387013023.html,1,02/17/2021 21:09:00
388,http://vurl.bz/logins-zimbra/V/,1626813007434445.html,1,07/20/2021 20:30:00
394,http://filamentshopping.com/.a/cva/al/vl/customer_center/customer-IDPP00C363/myaccount/signin/,1613575347724498.html,1,02/17/2021 20:52:00
399,http://wogaleseries.com/home/myaccount,10002561.html,1,10/31/2021 22:59:00
405,http://metamask-extension.kolasinresort.com/walletImport.html,1622709005669523.html,1,06/03/2021 08:30:00
406,https://coinly.cz/mkbbssl/a705fbb6bacb5535fa6c70e6dc11593f/,1608907938434567.html,1,12/25/2020 20:22:00
422,https://www.youtube.hakikatilbey.com.tr/mkbbssl/mkbbssl/23e7e763b7782c9c36c0aff169db6bbd/,1624951816951374.html,1,06/29/2021 07:30:00
429,http://kanakapolymers.com/admin/prod_images/doc/top/AcvBltkszSR1v9WtunL26I8ET6N1AXRb9nNuQ7Xp0OrvXnZsKKuQtDunJhpkfgwoDjTurQUsFlY/,1613572850776875.html,1,02/17/2021 20:10:00
479,http://gicuavs.com/banks/directing/royalbank,1608738829477301.html,1,12/23/2020 21:23:00
509,http://tech4guru.com/io2/,1621603806746619.html,1,05/21/2021 13:30:00
511,https://youtube.hakikatilbey.com.tr/mkbbssl/mkbbssl/5b0e896becbe292df0905568df40ee04/,1624944670153343.html,1,06/29/2021 05:31:00
523,http://takingnote.learningmatters.tv/wp-content/next.php,1613576847883306.html,1,02/17/2021 21:17:00
552,http://servidopichincha.byethost31.com/,1624804274107608.html,1,06/27/2021 14:31:00
560,https://graphicdesignbengaluru.org/doc/,1607537989646766.html,1,12/09/2020 23:49:00
566,http://www.paypalsigninfo.deisemelo.com/,1613576533337987.html,1,02/17/2021 21:12:00
578,https://SolCazino.net/,1607616820409488.html,1,12/10/2020 21:43:00
593,http://tristardentalcare.com/templates/beez3/access/WellsFargo/wells/wells.htm,160899692161327.html,1,12/26/2020 21:05:00
602,https://puntaarenas.cl/inspecciones/css/.amz/pass.php,1613575439130579.html,1,02/17/2021 20:53:00
610,http://madeinluis067.byethost33.com/,1626017405381895.html,1,07/11/2021 15:30:00
611,http://aitm.edu.np/server/alibaba/?email=gdxay@kingslide.com,1613573734140299.html,1,02/17/2021 20:25:00
