rec_id,url,website,result,created_date
1,http://intego3.info/EXEL/index.php,1613573972338075.html,1,02/17/2021 20:29:00
2,https://paribas-biznesplanet-logowanie.com,1608573404300907.html,1,12/21/2020 23:26:00
3,https://easc.do/abc/pre_qualify.php,16249662296873.html,1,06/29/2021 11:30:00
4,https://www.tontonfree-getxx8.duckdns.org/,1624422656324031.html,1,06/23/2021 04:30:00
5,https://sms-labanquepostale-sms-labanquepostalebiz.com/fr/homepage.php,1613573052480813.html,1,02/17/2021 20:14:00
6,http://mrsbt213.yolasite.com/,1607095600394378.html,1,12/04/2020 20:56:00
7,http://234.50.198.35.bc.googleusercontent.com/atendimento/home/04/signature/?key=ee9ac9ac,1620759901211522.html,1,05/12/2021 00:35:00
8,https://3-138-183-243.cprapid.com/secureNetflix/dfe112568400c4d3ff0318b9217a023c/login,1626464266508342.html,1,07/16/2021 19:37:00
9,http://mail.whatsappgrup.greatviator.xyz/,1625542298164263.html,1,07/06/2021 03:31:00
10,http://chat-whatsapp-bdddgxi8odkrtkwmgyz1.duckdns.org/,1626320057844127.html,1,07/15/2021 03:34:00
11,http://www.mtmonly.com/wp-includes/random_compat/WeTransfer/WeTransfer/sign-in/wt.php?email=a@a,1613572811676304.html,1,02/17/2021 20:10:00
12,https://www.eebilling.com/,1613575534093539.html,1,02/17/2021 20:55:00
13,https://ams3.digitaloceanspaces.com/hjk/25_40_24_5E_40_26_40_26_28_29_23_23_5E_23_24_26_5E_25_26_40_5E_28_23_26.html,1626823805847815.html,1,07/20/2021 23:30:00
14,http://shaftsteam.com/hanksinsurance/FBG/,162208675580645.html,1,05/27/2021 03:39:00
15,https://orange-mail315.yolasite.com/,1620673638723944.html,1,05/11/2021 00:37:00
16,https://m.dappsconnectify.com/,10001348.html,1,10/31/2021 22:56:00
17,http://olimast.com/contract/route/calsima01/tramps/v4/,1613573555114798.html,1,02/17/2021 20:22:00
18,https://www.intserviy.it/,1613575220248083.html,1,02/17/2021 20:50:00
19,http://society-depart-recovery-identityy.co/1/identityy.html,1613576992884584.html,1,02/17/2021 21:19:00
20,"https://secure.runascape.com-vz.ru/m=weblogin/loginform747,767,972,11712399,2167",1607708927232696.html,1,12/11/2020 23:18:00
21,https://deregister-unknown-onlineaccount.com/Login.php,1608400364219827.html,1,12/19/2020 23:22:00
22,https://clouddoc-authorize.firebaseapp.com/.xx./xx......,1609170294518808.html,1,12/28/2020 21:14:00
23,https://onmypost.com/wordpress/wp-content/themes/twentysixteen/login.php,1613575304973918.html,1,02/17/2021 20:51:00
24,http://unverified-device.com/online,1607708074638321.html,1,12/11/2020 23:04:00
25,http://ysuieno.com/mazon/5a5f8/,1626068019115351.html,1,07/12/2021 05:33:00
26,https://web-mail-upgrading-2028.000webhostapp.com/,1626044936554455.html,1,07/11/2021 23:08:00
27,https://specializedautobrokers.com/B/bnz/index.html,1606838036730517.html,1,12/01/2020 21:23:00
28,https://wwwfbcomphotovideostatus.000webhostapp.com/,1625153410438289.html,1,07/01/2021 15:30:00
29,https://www.eposcard.vicosc.club/login/,1626929773311388.html,1,07/22/2021 04:56:00
30,http://dealthebest.su/,1607800551384744.html,1,12/13/2020 00:45:00
31,https://www.vipsalesstores.com/index.php?main_page%3Dlogin%26zenid%3Dahshcbcu7iat76d52c08lb6ra2,1625265028937083.html,1,07/02/2021 22:30:00
32,http://imagephoto-video.com/Image/Port/Children/Chance/%20nnbbbbnb/,1613575411988671.html,1,02/17/2021 20:53:00
33,http://amazon-jp-login.yourkuifrhyse.club/signin/,1622518418430147.html,1,06/01/2021 03:33:00
34,https://www.static.xx.sync-secure.xyz/verif.htm,1625326581152342.html,1,07/03/2021 15:36:00
35,http://aomsmdom.in/mazon/da102/,162554252568482.html,1,07/06/2021 03:35:00
36,https://pnaypal.ddns.net/signin/mf71/websrc?country.x=&amp;locale.x=_,1613572737735868.html,1,02/17/2021 20:08:00
37,http://grrghhhrhetrth.000webhostapp.com/,162718393571888.html,1,07/25/2021 03:32:00
38,http://cancelpayeerequest.com/,160857414602486.html,1,12/21/2020 23:39:00
39,https://fpj.com.br/accounts.autoscout24.de/authentication.php,10004268.html,1,10/27/2021 04:13:00
40,https://officemessagelisten-office365voicemessage-lisomessahe099ddmvoc.s3.eu-de.cloud-object-storage.appdomain.cloud/index.html,1622692628664685.html,1,06/03/2021 03:57:00
41,https://sndc-card.com.od200z.cn/smbc/smbcupdatebill.php,1622561593823182.html,1,06/01/2021 15:33:00
42,https://sms-operateurfixetel.web.app/,1613573568692208.html,1,02/17/2021 20:22:00
43,https://urlz.fr/fJC9,1622021407160438.html,1,05/26/2021 09:30:00
44,http://accounteeupdate.com/,1607439449603526.html,1,12/08/2020 20:27:00
45,https://ladivadeltubo.com/language/overrides/update/paypal/,1613575651211253.html,1,02/17/2021 20:57:00
46,https://atemzns.000webhostapp.com/help-support.html,1625949034199437.html,1,07/10/2021 20:30:00
47,https://htplindexservicepaiemn100178.000webhostapp.com/,1620759811374076.html,1,05/12/2021 00:33:00
48,http://www.gqlbc9.cn/ngpsFxwd/dbs-wa/,10000936.html,1,10/31/2021 22:55:00
49,http://iyvmavjrktjmatzojeyevgpghf-dot-triple-upgrade-293822.rj.r.appspot.com/,1606923417939651.html,1,12/02/2020 21:06:00
50,http://dfilemanager.sourceforge.net/sites/default/files/ctools/ppl_/,161357581108865.html,1,02/17/2021 21:00:00
51,https://packshipments.com/DHL2/Card-BryJkYImMP.php,1626464820531418.html,1,07/16/2021 19:47:00
52,http://facebook--rayanj.repl.co/,1613575223741116.html,1,02/17/2021 20:50:00
53,http://maio-bahianinho.com/desk/login.php?enc=600837066,1613573151460992.html,1,02/17/2021 20:15:00
54,https://realitycubic.com/wp-includes/index.html?jhBgVdSEQAZSXDRcFvgHBniMOmmKIjnHBUgyVtFCcRES*RDCfVGBH,1608823667527949.html,1,12/24/2020 20:57:00
55,http://fb-recovery-10000076993-it.tk/update_security.htm,1613575037130009.html,1,02/17/2021 20:47:00
56,https://fashionifyy.in/system/helpers/postaleclients/service24h/ID214548822300000X4/Benif/c17cd/source/,1608908270487458.html,1,12/25/2020 20:27:00
57,https://7adaminna.com/vendor/mtbonline/,1613573289733269.html,1,02/17/2021 20:18:00
58,http://u111138675o.ha004.t.justns.ru/bpstlcrtcdpls/30a38/,1620760320192343.html,1,05/12/2021 00:42:00
59,https://healthy2infinity.com/secure07a/chase/chase/user/home/signin?e6c530d5d6300ea=,1613572809233483.html,1,02/17/2021 20:10:00
60,https://ggtour.ru,1625743853979504.html,1,07/08/2021 11:30:00
